agent_id,turn_number,question,answer,answer_length,emoji_feedback,comprehension_score,difficulty_level,score_delta,level_transition,processing_time_ms,timestamp,interaction_id,feedback_sent
agent_a,1,Sample question 1,Sample answer for turn 1,133,ğŸ˜,36.28253458371354,struggling,0.0,same,940.5910313348894,2025-12-06T16:21:07.017148,197,True
agent_b,1,Sample question 1,Sample answer for turn 1,198,ğŸ‘,54.50406487732573,normal,0.0,same,601.7356470664033,2025-12-06T16:21:07.017192,198,True
agent_c,1,Sample question 1,Sample answer for turn 1,58,ğŸ˜,51.97509869426153,struggling,0.0,same,1141.9805995028792,2025-12-06T16:21:07.017230,199,True
agent_a,2,Sample question 2,Sample answer for turn 2,89,âŒ,37.98729349331248,struggling,1.7047589095989366,same,1233.099409304872,2025-12-06T16:21:07.017256,297,True
agent_b,2,Sample question 2,Sample answer for turn 2,71,ğŸ˜Š,56.252408757303414,normal,1.748343879977682,same,1585.8925210279563,2025-12-06T16:21:07.017280,298,True
agent_c,2,Sample question 2,Sample answer for turn 2,183,ğŸ˜,50.55736925468841,struggling,-1.4177294395731224,same,771.1695435983237,2025-12-06T16:21:07.017344,299,True
agent_a,3,Sample question 3,Sample answer for turn 3,86,âŒ,31.10798147645865,struggling,-6.879312016853827,same,1262.0011611043874,2025-12-06T16:21:07.017382,397,True
agent_b,3,Sample question 3,Sample answer for turn 3,52,ğŸ˜Š,58.74029552592007,normal,2.4878867686166544,same,1054.396210276087,2025-12-06T16:21:07.017402,398,True
agent_c,3,Sample question 3,Sample answer for turn 3,181,ğŸ˜,60.870849211437815,struggling,10.313479956749404,same,1415.9581771467347,2025-12-06T16:21:07.017421,399,True
agent_a,4,Sample question 4,Sample answer for turn 4,180,âŒ,30.853707889341916,struggling,-0.2542735871167352,same,1331.4723210532425,2025-12-06T16:21:07.017435,497,True
agent_b,4,Sample question 4,Sample answer for turn 4,195,ğŸ˜Š,54.996144355013854,normal,-3.744151170906214,same,1188.9042409370752,2025-12-06T16:21:07.017453,498,True
agent_c,4,Sample question 4,Sample answer for turn 4,142,ğŸ‘,55.99364618330058,struggling,-4.877203028137238,same,907.3256864296256,2025-12-06T16:21:07.017468,499,True
agent_a,5,Sample question 5,Sample answer for turn 5,52,âŒ,35.46927821835936,struggling,4.615570329017441,same,918.54375996147,2025-12-06T16:21:07.017482,597,True
agent_b,5,Sample question 5,Sample answer for turn 5,198,ğŸ‘,67.93725023285234,normal,12.941105877838481,same,1310.5823952776923,2025-12-06T16:21:07.017496,598,True
agent_c,5,Sample question 5,Sample answer for turn 5,52,ğŸ˜,62.90778443058688,struggling,6.914138247286303,same,694.6308296033325,2025-12-06T16:21:07.017511,599,True
agent_a,6,Sample question 6,Sample answer for turn 6,147,âŒ,38.221749329074015,struggling,2.7524711107146587,same,1182.3602068558823,2025-12-06T16:21:07.017525,697,True
agent_b,6,Sample question 6,Sample answer for turn 6,75,ğŸ‘,69.6160796444166,good,1.6788294115642657,same,1546.5374500244743,2025-12-06T16:21:07.017538,698,True
agent_c,6,Sample question 6,Sample answer for turn 6,167,ğŸ‘,63.7119674819049,struggling,0.8041830513180201,same,1080.2951886791407,2025-12-06T16:21:07.017553,699,True
agent_a,7,Sample question 7,Sample answer for turn 7,76,ğŸ˜,46.646536487941894,struggling,8.424787158867879,same,947.0182314651748,2025-12-06T16:21:07.017566,797,True
agent_b,7,Sample question 7,Sample answer for turn 7,63,ğŸ‘,68.70311350789919,good,-0.9129661365174115,same,969.3812601209568,2025-12-06T16:21:07.017580,798,True
agent_c,7,Sample question 7,Sample answer for turn 7,187,âŒ,66.45420481998285,struggling,2.742237338077949,same,975.4933138844181,2025-12-06T16:21:07.017598,799,True
agent_a,8,Sample question 8,Sample answer for turn 8,144,âŒ,32.196835971596684,struggling,-14.44970051634521,same,1009.5044457213271,2025-12-06T16:21:07.017612,897,True
agent_b,8,Sample question 8,Sample answer for turn 8,156,ğŸ‘,73.70744047664752,good,5.00432696874833,same,1082.7374387237774,2025-12-06T16:21:07.017625,898,True
agent_c,8,Sample question 8,Sample answer for turn 8,67,ğŸ‘,66.6162323265722,normal,0.16202750658935372,same,1295.926268399984,2025-12-06T16:21:07.017639,899,True
agent_a,9,Sample question 9,Sample answer for turn 9,83,ğŸ˜,42.140831428590666,struggling,9.943995456993981,same,1047.147871987893,2025-12-06T16:21:07.017653,997,True
agent_b,9,Sample question 9,Sample answer for turn 9,187,ğŸ‘,79.11387082391005,good,5.406430347262528,same,716.7214132994748,2025-12-06T16:21:07.017668,998,True
agent_c,9,Sample question 9,Sample answer for turn 9,158,ğŸ˜,55.025737913460084,normal,-11.590494413112118,same,1477.3450969715245,2025-12-06T16:21:07.017683,999,True
agent_a,10,Sample question 10,Sample answer for turn 10,62,âŒ,36.20614092452387,struggling,-5.934690504066793,same,1233.2872817107886,2025-12-06T16:21:07.017697,1097,True
agent_b,10,Sample question 10,Sample answer for turn 10,194,ğŸ‘,80.01240911015697,good,0.898538286246918,same,570.1754458480275,2025-12-06T16:21:07.017711,1098,True
agent_c,10,Sample question 10,Sample answer for turn 10,89,âŒ,56.47394820221868,normal,1.4482102887585953,same,706.9774160884283,2025-12-06T16:21:07.017727,1099,True
agent_a,11,Sample question 11,Sample answer for turn 11,154,âŒ,38.59999622877408,struggling,2.3938553042502093,same,1351.341695934159,2025-12-06T16:21:07.017742,1197,True
agent_b,11,Sample question 11,Sample answer for turn 11,153,ğŸ‘,83.55857372570709,good,3.5461646155501256,same,1722.1991608423677,2025-12-06T16:21:07.017755,1198,True
agent_c,11,Sample question 11,Sample answer for turn 11,199,âŒ,59.30097377485074,normal,2.82702557263206,same,975.7200488724318,2025-12-06T16:21:07.017770,1199,True
agent_a,12,Sample question 12,Sample answer for turn 12,116,âŒ,44.70180285048354,normal,6.101806621709457,same,1208.2777738144398,2025-12-06T16:21:07.017784,1297,True
agent_b,12,Sample question 12,Sample answer for turn 12,125,ğŸ˜Š,82.63523831734142,good,-0.9233354083656735,same,1166.3398294010078,2025-12-06T16:21:07.017798,1298,True
agent_c,12,Sample question 12,Sample answer for turn 12,93,ğŸ‘,55.69240157189334,normal,-3.6085722029573972,same,1897.5151371699194,2025-12-06T16:21:07.017813,1299,True
agent_a,13,Sample question 13,Sample answer for turn 13,168,âŒ,48.46590677379601,normal,3.7641039233124687,same,633.7031031423386,2025-12-06T16:21:07.017828,1397,True
agent_b,13,Sample question 13,Sample answer for turn 13,122,ğŸ‘,85.63884686697578,good,3.0036085496343645,same,637.3351742516561,2025-12-06T16:21:07.017841,1398,True
agent_c,13,Sample question 13,Sample answer for turn 13,143,ğŸ˜,48.28284768267322,normal,-7.4095538892201205,same,1708.2553357585884,2025-12-06T16:21:07.017856,1399,True
agent_a,14,Sample question 14,Sample answer for turn 14,158,âŒ,46.88024883764336,normal,-1.58565793615265,same,972.03218775223,2025-12-06T16:21:07.017870,1497,True
agent_b,14,Sample question 14,Sample answer for turn 14,118,ğŸ˜Š,80.94646251283842,good,-4.69238435413736,same,2054.9541398819765,2025-12-06T16:21:07.017885,1498,True
agent_c,14,Sample question 14,Sample answer for turn 14,136,ğŸ‘,56.945319467215725,normal,8.662471784542504,same,1432.169590844742,2025-12-06T16:21:07.017901,1499,True
agent_a,15,Sample question 15,Sample answer for turn 15,69,âŒ,48.29343653336377,normal,1.41318769572041,same,458.98023185923466,2025-12-06T16:21:07.017915,1597,True
agent_b,15,Sample question 15,Sample answer for turn 15,161,ğŸ‘,93.42550237327501,excellent,12.479039860436586,same,776.0933245229525,2025-12-06T16:21:07.017929,1598,True
agent_c,15,Sample question 15,Sample answer for turn 15,100,ğŸ‘,57.85288351696623,normal,0.9075640497505049,same,1158.5895259744916,2025-12-06T16:21:07.017944,1599,True
agent_a,16,Sample question 16,Sample answer for turn 16,99,âŒ,48.15473233857037,normal,-0.13870419479339802,same,1304.1512839063555,2025-12-06T16:21:07.017958,1697,True
agent_b,16,Sample question 16,Sample answer for turn 16,74,ğŸ˜Š,98.02418390168404,excellent,4.598681528409031,same,1353.8782994604876,2025-12-06T16:21:07.017972,1698,True
agent_c,16,Sample question 16,Sample answer for turn 16,136,ğŸ‘,64.4111271149945,good,6.55824359802827,same,1278.968991879965,2025-12-06T16:21:07.017990,1699,True
agent_a,17,Sample question 17,Sample answer for turn 17,65,âŒ,47.47412582507149,normal,-0.6806065134988799,same,1281.4230799283391,2025-12-06T16:21:07.018004,1797,True
agent_b,17,Sample question 17,Sample answer for turn 17,86,ğŸ‘,100.0,excellent,1.9758160983159598,same,1680.501826941169,2025-12-06T16:21:07.018019,1798,True
agent_c,17,Sample question 17,Sample answer for turn 17,113,ğŸ˜,66.97145253463563,good,2.5603254196411314,same,816.0083030473835,2025-12-06T16:21:07.018042,1799,True
agent_a,18,Sample question 18,Sample answer for turn 18,58,âŒ,50.631147338299016,normal,3.1570215132275266,same,1578.1952269194685,2025-12-06T16:21:07.018057,1897,True
agent_b,18,Sample question 18,Sample answer for turn 18,111,ğŸ‘,100.0,excellent,0.0,same,1106.2469596302817,2025-12-06T16:21:07.018072,1898,True
agent_c,18,Sample question 18,Sample answer for turn 18,110,âŒ,70.87481830048144,good,3.9033657658458054,same,994.7429912191366,2025-12-06T16:21:07.018088,1899,True
agent_a,19,Sample question 19,Sample answer for turn 19,79,ğŸ˜,49.01912100725746,normal,-1.6120263310415552,same,1129.3868035990822,2025-12-06T16:21:07.018102,1997,True
agent_b,19,Sample question 19,Sample answer for turn 19,79,ğŸ‘,100.0,excellent,0.0,same,1265.4315693903459,2025-12-06T16:21:07.018116,1998,True
agent_c,19,Sample question 19,Sample answer for turn 19,65,âŒ,80.11401417016454,good,9.239195869683101,same,1019.1507006128278,2025-12-06T16:21:07.018131,1999,True
agent_a,20,Sample question 20,Sample answer for turn 20,140,âŒ,59.555101004053554,normal,10.535979996796094,same,931.7920759796252,2025-12-06T16:21:07.018145,2097,True
agent_b,20,Sample question 20,Sample answer for turn 20,54,ğŸ˜Š,100.0,excellent,0.0,same,753.4784235719115,2025-12-06T16:21:07.018161,2098,True
agent_c,20,Sample question 20,Sample answer for turn 20,182,âŒ,85.00570695056261,good,4.891692780398074,same,1755.4396362345005,2025-12-06T16:21:07.018176,2099,True
